open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722517620000,-0.00039572,-0.00028529,-0.00050128,-0.00050128,0,1722517679999,0,12,0,0,0
1722517680000,-0.00049018,-0.00037544,-0.00088545,-0.00063285,0,1722517739999,0,12,0,0,0
1722517740000,-0.00030981,-0.00015206,-0.00073189,-0.00037596,0,1722517799999,0,12,0,0,0
1722517800000,-0.00038323,-0.00021040,-0.00050429,-0.00039093,0,1722517859999,0,12,0,0,0
1722517860000,-0.00028794,-0.00023763,-0.00060994,-0.00039107,0,1722517919999,0,12,0,0,0
1722517920000,-0.00028274,-0.00013932,-0.00034455,-0.00025491,0,1722517979999,0,12,0,0,0
1722517980000,-0.00028813,-0.00023450,-0.00034092,-0.00031581,0,1722518039999,0,12,0,0,0
1722518040000,-0.00031402,-0.00024105,-0.00031402,-0.00030960,0,1722518099999,0,12,0,0,0
1722518100000,-0.00031388,-0.00023409,-0.00043409,-0.00033284,0,1722518159999,0,12,0,0,0
1722518160000,-0.00024086,-0.00024086,-0.00066297,-0.00051203,0,1722518219999,0,12,0,0,0
1722518220000,-0.00015044,-0.00015044,-0.00062406,-0.00050202,0,1722518279999,0,12,0,0,0
1722518280000,-0.00033710,-0.00030698,-0.00052115,-0.00046740,0,1722518339999,0,12,0,0,0
1722518340000,-0.00059248,-0.00021756,-0.00059248,-0.00021756,0,1722518399999,0,12,0,0,0
1722518400000,-0.00027626,-0.00004253,-0.00049211,-0.00024104,0,1722518459999,0,12,0,0,0
1722518460000,-0.00035782,-0.00019269,-0.00059007,-0.00030787,0,1722518519999,0,12,0,0,0
1722518520000,-0.00017555,0.00004489,-0.00041501,-0.00025381,0,1722518579999,0,12,0,0,0
1722518580000,-0.00025570,-0.00017633,-0.00038115,-0.00017633,0,1722518639999,0,12,0,0,0
1722518640000,-0.00022222,-0.00020304,-0.00040138,-0.00023533,0,1722518699999,0,12,0,0,0
1722518700000,-0.00026384,-0.00000800,-0.00032626,-0.00029535,0,1722518759999,0,12,0,0,0
1722518760000,-0.00025464,-0.00018137,-0.00039920,-0.00027370,0,1722518819999,0,12,0,0,0
1722518820000,-0.00014439,-0.00012204,-0.00037215,-0.00020405,0,1722518879999,0,12,0,0,0
1722518880000,-0.00034459,-0.00012276,-0.00041831,-0.00027564,0,1722518939999,0,12,0,0,0
1722518940000,-0.00034070,-0.00032174,-0.00055314,-0.00045911,0,1722518999999,0,12,0,0,0
1722519000000,-0.00043480,-0.00012791,-0.00064414,-0.00030305,0,1722519059999,0,12,0,0,0
1722519060000,-0.00042451,-0.00010588,-0.00045003,-0.00018355,0,1722519119999,0,12,0,0,0
1722519120000,-0.00015881,-0.00009007,-0.00052471,-0.00027346,0,1722519179999,0,12,0,0,0
1722519180000,-0.00050311,-0.00016532,-0.00050311,-0.00028982,0,1722519239999,0,12,0,0,0
1722519240000,-0.00016006,-0.00009000,-0.00054888,-0.00040997,0,1722519299999,0,12,0,0,0
1722519300000,-0.00035155,-0.00024840,-0.00085411,-0.00026896,0,1722519359999,0,12,0,0,0
1722519360000,-0.00096049,-0.00016897,-0.00096049,-0.00019693,0,1722519419999,0,12,0,0,0
1722519420000,-0.00041802,-0.00020928,-0.00050498,-0.00042354,0,1722519479999,0,12,0,0,0
1722519480000,-0.00036388,0.00003418,-0.00048940,-0.00006363,0,1722519539999,0,12,0,0,0
1722519540000,-0.00032409,0.00009222,-0.00032409,-0.00014351,0,1722519599999,0,12,0,0,0
1722519600000,-0.00015066,-0.00009061,-0.00042129,-0.00022154,0,1722519659999,0,12,0,0,0
